Season,High OBP Wins,High SLG Wins,High OBP BA,High OBP OBP,High OBP SLG,High OBP OPS,High OBP R,High SLG BA,High SLG OBP,High SLG SLG,High SLG OPS,High SLG R
1,79,83,0.306,0.395,0.396,0.791,976,0.277,0.338,0.515,0.853,941
2,82,80,0.325,0.416,0.42,0.836,1074,0.289,0.353,0.528,0.881,1056
3,77,85,0.32,0.406,0.405,0.811,998,0.28,0.346,0.517,0.863,982
4,94,68,0.319,0.403,0.412,0.815,1020,0.263,0.331,0.482,0.813,853
5,79,83,0.315,0.401,0.41,0.810,1025,0.282,0.345,0.518,0.863,979
6,88,74,0.319,0.409,0.406,0.815,1031,0.276,0.34,0.495,0.835,902
7,76,86,0.307,0.398,0.396,0.794,943,0.28,0.346,0.501,0.847,950
8,85,77,0.314,0.402,0.401,0.803,963,0.274,0.338,0.496,0.834,868
9,85,77,0.314,0.404,0.402,0.806,997,0.285,0.351,0.534,0.885,1006
10,92,70,0.307,0.402,0.396,0.798,990,0.275,0.335,0.493,0.828,882
11,86,76,0.318,0.405,0.424,0.829,1042,0.281,0.349,0.518,0.867,970
12,90,72,0.314,0.404,0.402,0.806,990,0.28,0.343,0.505,0.848,891
13,81,81,0.294,0.392,0.375,0.767,910,0.279,0.346,0.506,0.852,894
14,81,81,0.301,0.394,0.388,0.782,931,0.275,0.344,0.489,0.833,913
15,88,74,0.314,0.401,0.407,0.808,1020,0.277,0.343,0.507,0.850,913
16,76,86,0.314,0.401,0.406,0.807,1001,0.283,0.35,0.515,0.865,1013
17,89,73,0.308,0.4,0.395,0.795,944,0.275,0.343,0.494,0.837,906
18,103,59,0.323,0.415,0.422,0.837,1074,0.276,0.334,0.499,0.833,862
19,76,86,0.315,0.41,0.397,0.806,1019,0.285,0.349,0.537,0.886,985
20,92,70,0.321,0.412,0.414,0.826,1071,0.278,0.336,0.514,0.850,954
21,83,79,0.312,0.397,0.401,0.798,934,0.27,0.329,0.484,0.813,839
22,90,72,0.318,0.409,0.416,0.825,1041,0.281,0.344,0.504,0.848,914
23,84,78,0.31,0.406,0.394,0.8,1031,0.281,0.341,0.518,0.859,947
24,94,68,0.32,0.411,0.413,0.824,1028,0.278,0.348,0.499,0.847,930
25,95,67,0.316,0.41,0.408,0.818,1050,0.277,0.341,0.514,0.855,947
26,89,73,0.314,0.403,0.404,0.807,996,0.277,0.341,0.514,0.855,910
27,88,74,0.309,0.4,0.395,0.795,997,0.283,0.349,0.514,0.863,955
28,94,68,0.319,0.407,0.405,0.812,1050,0.27,0.338,0.495,0.833,865
29,84,78,0.315,0.403,0.41,0.813,987,0.278,0.337,0.511,0.848,889
30,79,83,0.308,0.397,0.392,0.789,965,0.276,0.345,0.5,0.845,940
31,73,89,0.312,0.4,0.398,0.798,954,0.284,0.35,0.521,0.871,990
32,85,77,0.316,0.403,0.403,0.806,1020,0.276,0.338,0.498,0.836,879
33,84,78,0.319,0.408,0.411,0.819,1020,0.279,0.341,0.519,0.860,977
34,91,71,0.315,0.404,0.406,0.81,1025,0.287,0.347,0.53,0.877,960
35,73,89,0.311,0.399,0.403,0.802,972,0.284,0.347,0.51,0.857,951
36,96,66,0.325,0.417,0.423,0.84,1137,0.277,0.343,0.5,0.843,940
37,77,85,0.312,0.398,0.401,0.799,963,0.279,0.344,0.522,0.866,970
38,79,83,0.308,0.397,0.396,0.793,999,0.278,0.343,0.516,0.859,923
39,77,85,0.31,0.396,0.398,0.794,910,0.286,0.351,0.525,0.876,991
40,90,72,0.304,0.397,0.391,0.788,956,0.267,0.334,0.486,0.820,870
41,92,70,0.316,0.409,0.4,0.808,1007,0.268,0.333,0.483,0.816,848
42,91,71,0.314,0.408,0.403,0.810,1057,0.275,0.342,0.51,0.852,922
43,81,81,0.313,0.399,0.403,0.802,970,0.28,0.343,0.499,0.842,961
44,89,73,0.31,0.399,0.404,0.803,963,0.279,0.344,0.499,0.843,908
45,98,64,0.322,0.405,0.406,0.811,1039,0.278,0.344,0.501,0.845,938
46,84,78,0.317,0.407,0.411,0.818,1044,0.278,0.343,0.503,0.846,915
47,104,58,0.312,0.402,0.402,0.804,1033,0.274,0.336,0.498,0.834,903
48,77,85,0.306,0.399,0.391,0.79,914,0.284,0.349,0.533,0.882,985
49,73,89,0.311,0.4,0.407,0.806,998,0.288,0.352,0.549,0.901,1018
50,85,77,0.317,0.405,0.413,0.818,1032,0.281,0.348,0.511,0.859,949
51,86,76,0.315,0.4,0.408,0.808,995,0.277,0.34,0.509,0.849,928
52,89,73,0.307,0.399,0.403,0.802,964,0.27,0.33,0.488,0.818,859
53,85,77,0.308,0.394,0.394,0.788,932,0.276,0.341,0.499,0.840,890
54,82,80,0.31,0.398,0.398,0.796,942,0.275,0.339,0.497,0.836,889
55,81,81,0.311,0.405,0.396,0.801,982,0.283,0.348,0.519,0.867,1007
56,87,75,0.319,0.412,0.407,0.819,1058,0.278,0.349,0.497,0.846,945
57,89,73,0.306,0.395,0.393,0.788,960,0.273,0.335,0.509,0.844,895
58,74,88,0.303,0.387,0.394,0.781,888,0.288,0.353,0.515,0.868,987
59,92,70,0.313,0.4,0.4,0.8,994,0.274,0.342,0.488,0.830,904
60,90,72,0.314,0.403,0.41,0.813,1015,0.282,0.342,0.514,0.856,929
61,84,78,0.314,0.404,0.398,0.802,979,0.28,0.344,0.512,0.856,917
62,88,74,0.313,0.405,0.404,0.809,1042,0.28,0.344,0.517,0.861,960
63,90,72,0.314,0.402,0.409,0.810,988,0.272,0.341,0.494,0.835,889
64,96,66,0.33,0.416,0.424,0.84,1104,0.28,0.338,0.513,0.851,886
65,96,66,0.314,0.408,0.4,0.808,1005,0.281,0.339,0.508,0.847,916
66,92,70,0.316,0.408,0.413,0.821,1018,0.268,0.336,0.483,0.819,867
67,89,73,0.316,0.401,0.409,0.81,1002,0.28,0.348,0.498,0.846,957
68,101,61,0.322,0.412,0.42,0.832,1103,0.273,0.338,0.503,0.841,910
69,81,81,0.312,0.4,0.402,0.802,1021,0.287,0.348,0.514,0.862,950
70,91,71,0.317,0.403,0.407,0.81,1014,0.269,0.333,0.491,0.824,874
71,75,87,0.312,0.402,0.407,0.808,1013,0.286,0.351,0.537,0.888,976
72,96,66,0.318,0.406,0.414,0.820,1046,0.271,0.334,0.486,0.820,853
73,82,80,0.31,0.4,0.402,0.802,955,0.278,0.346,0.498,0.844,950
74,89,73,0.312,0.402,0.399,0.801,992,0.281,0.347,0.508,0.855,979
75,91,71,0.308,0.4,0.394,0.794,1008,0.272,0.335,0.485,0.820,860
76,90,72,0.322,0.411,0.411,0.822,1088,0.288,0.353,0.525,0.878,941
77,78,84,0.312,0.401,0.397,0.798,953,0.286,0.349,0.526,0.875,969
78,84,78,0.316,0.403,0.399,0.802,955,0.277,0.341,0.504,0.845,880
79,89,73,0.312,0.407,0.407,0.814,1040,0.278,0.342,0.512,0.854,948
80,100,62,0.322,0.411,0.408,0.819,1059,0.27,0.336,0.486,0.822,871
81,91,71,0.317,0.409,0.408,0.817,1021,0.281,0.341,0.498,0.839,886
82,84,78,0.315,0.403,0.404,0.807,981,0.283,0.345,0.513,0.858,935
83,79,83,0.317,0.409,0.412,0.821,1000,0.281,0.346,0.521,0.867,972
84,83,79,0.314,0.402,0.406,0.808,989,0.282,0.344,0.5,0.844,936
85,83,79,0.316,0.409,0.408,0.817,1025,0.277,0.343,0.503,0.846,915
86,91,71,0.312,0.4,0.402,0.802,964,0.277,0.34,0.495,0.835,916
87,84,78,0.308,0.402,0.395,0.797,944,0.277,0.345,0.499,0.844,882
88,89,73,0.313,0.404,0.397,0.801,991,0.284,0.347,0.51,0.857,916
89,93,69,0.311,0.404,0.405,0.809,971,0.272,0.336,0.492,0.828,867
90,84,78,0.313,0.399,0.404,0.803,1001,0.292,0.367,0.523,0.89,1051
91,84,78,0.314,0.409,0.401,0.81,1051,0.28,0.347,0.525,0.872,988
92,90,72,0.311,0.409,0.4,0.808,1012,0.277,0.336,0.518,0.854,888
93,84,78,0.318,0.403,0.404,0.807,1044,0.284,0.347,0.523,0.87,1012
94,88,74,0.315,0.402,0.41,0.812,1038,0.289,0.351,0.529,0.88,978
95,72,90,0.312,0.398,0.402,0.8,982,0.287,0.351,0.529,0.88,1021
96,84,78,0.308,0.4,0.395,0.795,952,0.274,0.338,0.488,0.826,876
97,80,82,0.313,0.404,0.4,0.804,1016,0.276,0.34,0.509,0.849,937
98,102,60,0.323,0.413,0.423,0.836,1116,0.28,0.348,0.513,0.861,910
99,89,73,0.307,0.391,0.395,0.786,927,0.272,0.338,0.495,0.833,876
100,96,66,0.32,0.409,0.416,0.825,1006,0.269,0.335,0.489,0.824,849
101,81,81,0.305,0.402,0.4,0.802,931,0.276,0.341,0.499,0.840,895
102,92,70,0.317,0.41,0.408,0.818,1072,0.284,0.348,0.524,0.872,997
103,76,86,0.319,0.407,0.408,0.815,1027,0.289,0.351,0.528,0.879,983
104,85,77,0.318,0.406,0.4,0.806,1036,0.284,0.347,0.508,0.855,935
105,91,71,0.318,0.41,0.41,0.82,1038,0.287,0.351,0.516,0.867,950
106,83,79,0.311,0.401,0.396,0.797,970,0.279,0.337,0.524,0.861,907
107,97,65,0.328,0.417,0.426,0.843,1126,0.278,0.343,0.505,0.848,898
108,84,78,0.316,0.408,0.405,0.813,1070,0.288,0.353,0.525,0.878,1021
109,84,78,0.33,0.415,0.423,0.838,1093,0.288,0.348,0.523,0.871,971
110,78,84,0.315,0.405,0.416,0.821,1003,0.287,0.35,0.528,0.878,977
111,83,79,0.317,0.408,0.41,0.818,1052,0.284,0.353,0.523,0.876,997
112,94,68,0.311,0.407,0.394,0.800,1020,0.279,0.341,0.511,0.852,922
113,86,76,0.317,0.411,0.408,0.819,1059,0.277,0.344,0.505,0.849,923
114,83,79,0.316,0.405,0.408,0.813,1045,0.282,0.349,0.522,0.871,974
115,83,79,0.317,0.404,0.408,0.812,979,0.28,0.344,0.502,0.846,955
116,71,91,0.312,0.398,0.397,0.795,970,0.279,0.345,0.502,0.847,954
117,85,77,0.31,0.401,0.4,0.801,1024,0.285,0.351,0.519,0.87,981
118,87,75,0.325,0.413,0.425,0.838,1074,0.28,0.345,0.512,0.857,920
119,90,72,0.32,0.406,0.41,0.816,1027,0.275,0.342,0.491,0.833,877
120,85,77,0.321,0.409,0.407,0.816,1032,0.281,0.346,0.502,0.848,948
121,97,65,0.325,0.417,0.422,0.839,1117,0.272,0.339,0.518,0.857,922
122,97,65,0.32,0.41,0.411,0.821,1039,0.269,0.332,0.501,0.833,877
123,86,76,0.317,0.408,0.412,0.82,1037,0.271,0.338,0.495,0.833,915
124,81,81,0.315,0.403,0.403,0.806,1015,0.283,0.344,0.514,0.858,944
